Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Yang et al., 2008",Surface,83.47,32.37,4537,206.5,1.8,17.5,8.37,62.49,33.39,4.12,12.7,52.6,0.1647,NA,2.91,0.490595
"Yang et al., 2008",Surface,83.3,32.42,4491,199,1.81,16.85012701,8.6,83.6,13.97,2.43,11.9,48.8,0.1941,NA,2.79,0.30731
"Yang et al., 2008",Surface,84.1,32.33,4445,229.6,1.56,19.8615917,8.6,78,18.8,3.2,19.8,31.1,0.1335,NA,2.46,0.3854
"Yang et al., 2008",Surface,84.17,32.4,4489,229.4,1.51,19.93049522,8.6,83.67,14.24,2.09,50.8,44,0.1572,NA,1.14,0.29124
"Yang et al., 2008",Surface,84.17,32.4,4483,229.4,1.51,19.93049522,8.6,93.63,5.89,0.48,54.3,44,0.1572,NA,0.8,0.29124
"Yang et al., 2008",Surface,84.27,32.55,4622,230.4,1.42,20.17513135,8.57,87.72,11.26,1.02,25.3,44.3,0.1505,NA,1.9,0.30849
"Yang et al., 2008",Surface,84.25,32.65,4643,227.9,1.38,20.02636204,8.57,72.73,23.87,3.4,19.1,44.7,0.1491,NA,2.8,0.36127
"Yang et al., 2008",Surface,84.2,32.8,4681,219.4,1.31,19.39876216,8.5,85.98,12.37,1.65,17,47,0.1391,NA,2.44,0.37525
"Yang et al., 2008",Surface,84.05,32.95,4731,215,1.32,18.99293286,8.47,68.23,28.03,3.74,26.7,23.9,0.117,NA,2.88,0.293625
"Yang et al., 2008",Surface,83.98,32.17,4794,231.4,1.78,19.6434635,8.47,89,9.57,1.43,37.7,40.9,0.1588,NA,2.83,0.493215
"Yang et al., 2008",Surface,84,32.2,4608,232,1.62,19.96557659,8.6,86.64,11.03,2.33,15.9,53.9,0.1923,NA,2.6,0.35772
"Yang et al., 2008",Surface,84.12,32.28,4441,235.9,1.58,20.37132988,8.57,83.39,11.79,4.82,13.4,42.5,0.1212,NA,2.4,0.32967
"Yang et al., 2008",Surface,84.57,32.2,4504,250,1.41,21.91060473,8.6,82.04,15.51,2.45,17.7,44.2,0.1315,NA,3.1,0.34974
"Yang et al., 2008",Surface,85.03,32.17,4442,269.6,1.35,23.75330396,8.6,81.44,16.26,2.3,13.1,28.4,0.1265,NA,2.1,0.33936
"Yang et al., 2008",Surface,87.87,31.88,4550,362.1,0.56,34.28977273,8.23,80.77,15.64,3.59,18.9,58.6,0.1489,NA,3.38,0.542025
"Yang et al., 2008",Surface,101.31,37.61,3192,423.7,0.78,39.30426716,7.67,41.13,54.92,3.95,347.5,339.5,0.7587,NA,11.38,1.374505
"Yang et al., 2008",Surface,101.24,37.61,3204,417.6,0.73,38.91891892,7.8,49.31,47.47,3.22,149.8,325.8,0.6985,NA,7.78,1.183215
"Yang et al., 2008",Surface,101.31,37.64,3315,423.7,0.78,39.30426716,7.7,42.18,53.76,4.06,212.2,322.2,0.7587,NA,18.6,1.27776
"Yang et al., 2008",Surface,101.03,37.02,3179,351.2,0.83,32.42843952,7.9,53.3,43.28,3.42,186.3,392.2,0.6963,NA,13.64,1.04448
"Yang et al., 2008",Surface,100.11,37.42,3390,335.5,0.23,32.79569892,7.9,56.82,40.1,3.08,116.2,275.5,0.7516,NA,9.64,1.2256
"Yang et al., 2008",Surface,94.28,35.71,4380,277.3,-1.56,32.85545024,7.5,67.86,30.07,2.07,164.8,63.4,0.2138,NA,6.79,0.612055
"Yang et al., 2008",Surface,93.32,35.33,4556,307.9,-2.79,42.70457698,7.8,74.09,23.72,2.19,54.6,35.2,0.1568,NA,2.1,0.74284
"Yang et al., 2008",Surface,92.36,33.95,4616,346.2,-2.59,46.72064777,8.1,67.5,29.61,2.89,59.9,48.6,0.2276,NA,0.93,0.68284
"Yang et al., 2008",Surface,91.87,33.32,4867,361.4,-2.15,46.03821656,7.4,85.59,11.84,2.57,146.8,43.7,0.228,NA,6,0.8918
"Yang et al., 2008",Surface,91.68,32.19,4628,405.9,-0.94,44.8013245,7.53,92.2,6.86,0.94,189.8,72,0.4854,NA,1.66,1.042065
"Yang et al., 2008",Surface,92.9,34.79,4682,325.2,-2.96,46.19318182,7.7,75.91,21.65,2.44,117.2,86.5,0.4539,NA,5.65,1.03033
"Yang et al., 2008",Surface,91.86,31.58,4594,441.7,0.13,43.60315893,7.3,78.91,18.83,2.26,111.1,189,0.5918,NA,4.12,1.23201
"Yang et al., 2008",Surface,91.33,31.51,4663,417.8,0.18,41.04125737,7.3,83.34,14.34,2.32,80.5,211,0.432,NA,3.25,1.26192
"Yang et al., 2008",Surface,90.01,31.43,4741,323.8,0.31,31.40640155,7.43,86.16,11.67,2.17,33.8,71.4,0.2896,NA,1.88,0.84217
"Yang et al., 2008",Surface,85.32,30.38,5004,288.6,2.4,23.27419355,7.83,75.32,21.45,3.23,61.5,64.9,0.2494,NA,3.33,0.58765
"Yang et al., 2008",Surface,86.73,29.41,4603,327.5,3.85,23.64620939,8.1,88.13,9.5,2.37,31.8,131,0.4364,NA,3.27,0.57771
"Yang et al., 2008",Surface,87.21,29.25,4546,324.5,4.43,22.48787249,7.8,64.7,32.29,3.01,15.8,69,0.3646,NA,6.6,0.73383
"Yang et al., 2008",Surface,90.62,30.2,4583,413.5,3.87,29.81254506,7.13,76.39,21.31,2.3,90,204.6,0.5047,NA,4.27,1.164605
"Yang et al., 2008",Surface,91.06,30.45,4302,453.6,3.12,34.57317073,7,69.37,28.11,2.52,162.8,211.7,0.5936,NA,4.84,1.19606
"Yang et al., 2008",Surface,91.54,30.62,4550,471.6,2.5,37.728,7,69.76,27.29,2.95,145.3,201.9,0.5815,NA,6.96,1.254165
"Yang et al., 2008",Surface,91.69,31.07,4720,459,1.34,40.47619048,7.23,83.39,14.74,1.87,79.4,97.9,0.4797,NA,4.39,1.05963
"Yang et al., 2008",Surface,100.49,35.57,3304,456.3,1.24,40.59608541,7.67,64.44,32.79,2.77,92.7,360.6,0.7377,NA,11.34,0.95469
"Yang et al., 2008",Surface,100.77,35.08,3565,524.9,1.29,46.49247121,7.73,58.37,38.5,3.13,140.9,365.3,0.7738,NA,12.38,1.31744
"Yang et al., 2008",Surface,100.82,34.86,3650,551.1,1.33,48.6407767,7.3,60.01,36.72,3.27,242.7,331,0.7347,NA,14.56,1.3209
"Yang et al., 2008",Surface,100.22,34.53,3717,526.8,1.22,46.95187166,7.2,59.13,37.73,3.14,151.3,236.2,0.7581,NA,15.32,1.42308
"Yang et al., 2008",Surface,97.14,33.82,4443,485.2,-0.48,50.96638655,7.1,62.17,34.51,3.32,43.9,159.8,0.6575,NA,12.43,1.419015
"Yang et al., 2008",Surface,97.02,33.76,4589,495.9,-0.21,50.65372829,6.97,56.84,39.65,3.51,139.4,142.7,0.5911,NA,11.78,1.41645
"Yang et al., 2008",Surface,96.73,33.81,4142,475.2,-0.11,48.04853387,7.3,58.29,39.28,2.43,65.3,149.5,0.6408,NA,8.85,1.40892
"Yang et al., 2008",Surface,96.37,33.97,4229,456.2,-0.11,46.12740142,7.43,68.79,28.65,2.56,172.2,140.8,0.6241,NA,9.48,1.45107
"Yang et al., 2008",Surface,96.2,34.1,4363,427.2,-0.3,44.04123711,7.53,69.4,28.29,2.31,109.3,137.4,0.607,NA,8.45,1.31733
"Yang et al., 2008",Surface,95.7,33.95,4161,448.8,-0.2,45.79591837,7.63,65.55,31.3,3.15,189.5,136.6,0.6048,NA,8.03,1.1376
"Yang et al., 2008",Surface,95.87,33.73,4264,477.4,0.17,46.94198623,7.2,73.19,24.1,2.71,123.4,150.2,0.5838,NA,8.63,1.323
"Yang et al., 2008",Surface,96.36,33.28,4292,548,1.42,47.98598949,7.23,70.15,27.11,2.74,50.6,191.8,0.6448,NA,7.7,1.30845
"Yang et al., 2008",Surface,96.57,33.21,4257,548.7,1.52,47.63020833,7.17,63.82,33.07,3.11,35.8,160.5,0.6693,NA,10.18,1.358265
"Yang et al., 2008",Surface,96.91,33.02,3901,573,2.34,46.43435981,7.2,59.86,36.46,3.68,49.7,218,0.5606,NA,6.75,1.4385
"Yang et al., 2008",Surface,97.16,32.81,3900,592.6,2.79,46.33307271,7,57.89,37.9,4.21,90.2,282.2,0.7154,NA,9.25,1.59642
"Yang et al., 2008",Surface,97.1,32.81,3888,592.6,2.83,46.18862042,6.97,63.25,33.19,3.56,99.5,288.4,0.7194,NA,7.73,1.51788
"Yang et al., 2008",Surface,96.74,32.89,4286,593.5,2.74,46.5855573,7.1,60.6,35.71,3.69,255.9,206.7,0.6156,NA,11.31,1.51767
"Yang et al., 2008",Surface,96.56,32.6,3958,613.8,3.14,46.71232877,7.33,61.08,35.01,3.91,146.3,235,0.6812,NA,5.33,1.43022
"Yang et al., 2008",Surface,96.4,32.52,4010,624.2,3.32,46.86186186,7.1,62.51,33.46,4.03,121.8,254.8,0.6983,NA,4.51,1.396365
"Yang et al., 2008",Surface,96.4,32.2,3801,649.2,4.05,46.20640569,7.3,49.5,45.04,5.46,112.9,239.5,0.6612,NA,10.24,1.269035
"Yang et al., 2008",Surface,96.39,32,4191,651.8,4.31,45.54856744,6.8,81.91,15.23,2.86,54.6,231.2,0.6729,NA,8.53,1.410615
"Yang et al., 2008",Surface,95.38,31.49,4288,686.3,3.76,49.87645349,6.5,51.42,44.45,4.13,97.9,212.7,0.6301,NA,12.51,1.462875
"Yang et al., 2008",Surface,93.95,31.93,4113,694,1.72,59.21501706,6.7,68.51,28.47,3.02,100.4,191.8,0.658,NA,5.19,1.523065
"Yang et al., 2008",Surface,93.54,31.85,4475,693.7,1.37,61.0114336,6.37,62.94,33.73,3.33,98.2,183.4,0.5351,NA,7.23,1.40352
"Yang et al., 2008",Surface,93.14,31.93,4478,659.2,0.75,61.32093023,6.93,59.2,36.84,3.96,122.6,208.3,0.6967,NA,10.1,1.46529
